Name,Platform,USD Value,Total In,Total Out,Citizens,Proposals,Voters,Voter Participation,Image
array.finance CCO,2,96624.21671,1422135.43,1362894.969,10309,122,5,0.04850131,arrayFinanceCCO.png
murziki,4,82244.27408,179226.9128,96982.63868,3,26,2,66.66666667,
blequity,4,78505.88749,78505.88749,0,7,8,2,28.57142857,blequity.jpg
Trojan DAO,2,69075.40795,104324.3459,35248.93798,0,35,7,100,trojandao.jpg
flamingo,3,66738.70959,30736420.2,30669681.49,0,111,18,100,flamingo.png
Raid Guild War Chest,2,61963.44944,604842.3799,535402.1792,19592,188,31,0.158227848,RaidGuild.jpg
Ampleforth,6,59399.19873,59399.19873,0,10000,1,24,0.24,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/ampleforth.png
XDAO,2,55483.39864,57053.39864,1570,21,7,1,4.761904762,xdao.jpeg
Hakt DAO,12,53876.81522,65850.83225,15775.94501,63,2,8,12.6984127,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/hakt.eth.png
Conjure,6,50606.62337,50606.62337,0,311,0,0,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/conjure.png
MarsDao,4,43210.8142,422372.842,385024.2983,80,438,11,13.75,MarsDao.jpg
cadcad,4,39988.22165,54714.02907,14892.25672,5,8,1,20,cadCAD.png
Defi Omega,2,39342.83333,59099,19756.16667,475,42,1,0.210526316,defi-omega.jpeg
Cyber Congress,4,39024.90284,39024.90284,0,43,32,7,16.27906977,cyberdevs.png
Buyback CC1,2,36942.69626,206942.8726,170000.1763,26,16,3,11.53846154,
JuiceboxDAO,12,36841.08558,87437.02355,60876.47085,3502,60,409,11.67904055,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/jbdao.eth.png
Aragon One,4,32841.85603,18977253.05,18944411.19,4,388,7,100,AragonOne.jpg
DAOhaus Second Story CCO,2,29140.23943,6133803.052,6104662.813,611,386,4,0.654664484,daohaus.png
Curio,4,26552.44905,347030.6432,320478.1941,179,102,27,15.08379888,Curio.jpg
Rocket LP DAO,2,23783.9712,1088928.877,1065144.906,0,29,6,100,rocketdao.jpg
TYAN Intergalactic,2,23363.64401,28112.45832,4748.814313,25,33,4,16,tyan.jpeg
1HiveLLC,4,20796.28197,841476.2806,820679.9986,7,216,2,28.57142857,1HiveLLC.png
DimensionLab,4,19691.88048,1000.002503,0,1,2,0,0,dimension-lab.jpeg
MetaCartel v2,2,18952.81969,2340862.673,2321909.853,132,157,22,16.66666667,metacartelventureschina.png
