id,name,display_name,image,get_it_url,short_description,long_description,enabled,oauth,qm_client,created_at,updated_at,client_id,deleted_at,wp_post_id,number_of_connections,number_of_connector_imports,number_of_connector_requests,number_of_measurements,is_public,sort_order,slug
66,qmchrome,Quantimodo Chrome Extension,https://i.imgur.com/8UvLfY8.png,https://chrome.google.com/webstore/detail/quantimodo-universal-trac/jioloifallegdkgjklafkkbniianjbgi,Tracks anything.,"Use QuantiModo for Chrome to effortlessly track anything! You can track your sleep, diet, medication, physical activity, and anything else that can be quantified.",1,0,1,2000-01-01 00:00:00,2019-12-29 01:29:04,qmchrome,,,,,,,,0,
67,qmsync,Quantimodo Sync for Android,https://i.imgur.com/3QVZzdf.png,https://play.google.com/store/apps/details?id=com.quantimodo.sync&hl=en,Sync all your tracking data.,"QuantiModo Sync allows you to sync data from the following Android life-tracking apps to QuantiModo: Accupedo, Cardiograph, Good Day Journal, How Are You Feeling, MedHelper, MediSafe, myFitnessCompanion, MyFitnessPal, Sleep As Android, SportsTracker, T2MoodTracker, and ZombiesRun",0,0,1,2000-01-01 00:00:00,2019-12-29 01:29:04,qmsync,,,,,,,,0,
69,medhelper,MedHelper,https://lh3.ggpht.com/seMNnwIp_i3-unRhf4aw08i4buy_DC2CY0Wy1IGT785T3iAARK-lSk2sEeU0i3mu7Q=w300,"",Tracks medications.,MedHelper is a comprehensive prescription/medication compliance and tracking App designed to help individuals and caretakers manage the challenges of staying on time up to date and on schedule with very simple to very complex regimes. Easy to install and full featured MedHelper is ready to become your 24/7 healthcare assistant. Available on Android and IOS platforms.,1,0,0,2020-07-28 17:59:18,2020-08-12 02:41:23,medhelper,,,,,,,,0,
70,quantimodoandroid,QuantiModo for Android,https://i.imgur.com/xum4q3U.png?1,https://play.google.com/store/apps/details?id=com.quantimodo.quantimodo&hl=en,Tracks anything,"",0,0,1,2000-01-01 00:00:00,2019-12-29 01:29:05,quantimodoandroid,,,,,,,,0,
71,quantimodoios,QuantiModo for iOS,https://i.imgur.com/WLP30yg.png?1,https://itunes.apple.com/us/app/quantimodo-life-tracker/id1115037060?mt=8,Tracks anything,"",0,0,1,2000-01-01 00:00:00,2019-12-29 01:29:05,quantimodoios,,,,,,,,0,
72,quantimodo,QuantiModo,https://static.quantimo.do/img/logos/quantimodo-logo-qm-rainbow-200-200.png,https://quantimo.do,Tracks anything,"QuantiModo allows you to easily track mood, symptoms, or any outcome you want to optimize in a fraction of a second.  You can also import your data from over 30 other apps and devices.  QuantiModo then analyzes your data to identify which hidden factors are most likely to be influencing your mood or symptoms.",1,1,,2020-07-28 17:59:23,2020-08-12 02:41:28,quantimodo,,,,,,,,0,
73,mint-spreadsheet,Mint Spreadsheet Upload,https://static-s.aa-cdn.net/img/gp/20600000039023/Vd9ubTf3GHgogznhGqYLb-hFtx6gqhZ5h5wBzSf-1Wf_GsFHRf1Lk_HX0muiCTp1fL_u=w300?v=1,"",Tracks expenditures,"Upload an exported transactions spreadsheet from Mint.com. Manage your money, pay your bills and track your credit score with Mint. Now that's being good with your money. ",1,0,0,2020-07-28 17:59:18,2020-08-12 02:41:23,mint-spreadsheet,,,,,,,,0,
74,netatmo,Netatmo,https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/c0/e1/e3/c0e1e38b-4eda-ea50-cb83-1e1d43b9e9bb/AppIcon-1x_U007emarketing-85-220-0-6.png/246x0w.jpg,https://amzn.to/2uCqcIH,Tracks humidity and temperature,"Experience the comfort of a Smart Home: Smart Thermostat, Security Camera with Face Recognition, Weather Station.",1,1,,2020-07-28 17:59:23,2021-06-04 12:50:42,netatmo,,,,,,,,0,
75,general_spreadsheet,General Spreadsheet,https://applets.imgix.net/https%3A%2F%2Fassets.ifttt.com%2Fimages%2Fchannels%2F799977804%2Ficons%2Fon_color_large.png%3Fversion%3D0?ixlib=rails-2.1.3&w=240&h=240&auto=compress&s=dd7fc1b8b5df19e872f5fefe14c107cd,"","Import from a spreadsheet containing a Variable Name, Value, Measurement Event Time, and Abbreviated Unit Name field","Import from a spreadsheet containing a Variable Name, Value, Measurement Event Time, and Abbreviated Unit Name field.  Here is an <a href=""http://bit.ly/2jz7CNl"" target=""_blank"">example spreadsheet</a> with allowed column names, units and time format.",1,0,0,2020-07-28 17:59:17,2020-08-12 02:41:22,general_spreadsheet,,,,,,,,0,
76,strava,Strava,https://assets.ifttt.com/images/channels/1055884022/icons/large.png,"",Runners and cyclists use Strava to record their activities and compare performance over time,"If you like to run, ride or just adventure outside, you'll love Strava. Give it a try, it's free! Millions of runners, cyclists and active people use Strava to record their activities, compare performance over time, connect with their community, and share the photos, stories and highlights of their adventures with friends.",0,1,0,2020-07-28 17:59:24,2020-08-12 02:41:29,strava,,,,,,,,0,
